Municipio;CodEstacao;UF;NomeEstacao;Latitude;Longitude;IdEstacao
ABAETETUBA;150010702A;PA;Francilândia;-1,707738;-48,876747;9074
ABAETETUBA;150010703A;PA;Mutirão;-1,724433;-48,864175;9075
ABAETETUBA;150010701A;PA;São Lourenço;-1,723155;-48,879321;9073
ALMEIRIM;150050302A;PA;Palhal;-1,528711;-52,582183;9078
ALTAMIRA;150060202A;PA;Brasília;-3,199942;-52,203749;9079
ALTAMIRA;150060203A;PA;Preme;-3,213881;-52,220173;9080
ALENQUER;150040402A;PA;Independencia;-1,941579;-54,718514;9077
ALENQUER;150040401A;PA;Centro;-1,949501;-54,744331;9076
ANAPU;150085901A;PA;Centro;-3,467739;-51,201888;9081
AVEIRO;150100601A;PA;Centro;-3,604545;-55,330202;9082
BAIAO;150120401A;PA;Centro;-2,789;-49,673;6787
BELEM;150140201H;PA;Canal da Quintino Bocaiuva;-1,467778;-48,483548;8752
BELEM;150140203A;PA;Terra Firme;-1,450385;-48,446255;9084
BELEM;150140204A;PA;Nazaré;-1,449707;-48,482217;9085
BELEM;150140205A;PA;Ilha Outeiro;-1,249272;-48,457779;9086
BELEM;150140207A;PA;Vila Mosqueiro;-1,164264;-48,468548;9088
BELEM;150140201A;PA;Ilha do Mosqueiro;-1,067;-48,379;6788
BELEM;150140208A;PA;Cremação;-1,468867;-48,481624;9089
BELEM;150140209A;PA;Guamá;-1,466283;-48,464282;9090
BELEM;150140210A;PA;Pedreira;-1,422716;-48,468028;9091
BELEM;150140206A;PA;Icoaraci;-1,308735;-48,479847;9087
BELEM;150140202A;PA;Marambaia;-1,401513;-48,435548;9083
BRAGANCA;150170901A;PA;Taira;-1,060666;-46,783468;9092
CANAA DOS CARAJAS;150215201A;PA;EMEF Zildália;-6,51951;-49,85925;7977
ELDORADO DOS CARAJAS;150295401A;PA;Prefeitura Municipal;-6,1032;-49,3719;6789
GURUPA;150310101A;PA;Centro;-1,410276;-51,636747;9093
IRITUIA;150350701A;PA;Centro;-1,771;-47,437;6790
IRITUIA;150350702A;PA;Unidade de Saúde da Família;-1,743;-47,502;6791
ITAITUBA;150360602A;PA;Mirituba;-4,245494;-55,006391;9095
ITAITUBA;150360601A;PA;Floresta;-4,26683;-55,991332;9094
JACUNDA;150380401A;PA;Centro;-4,446;-49,112;6792
JURUTI;150390301A;PA;São Marcos;-2,150298;-56,081006;9096
MARABA;150420802A;PA;Velha Marabá;-5,3492;-49,134;3031
MARABA;150420806A;PA;São Félix Pioneiro;-5,3011;-49,0801;6795
MARABA;150420804A;PA;Centro;-5,3284;-49,1043;6793
MARABA;150420805A;PA;Belo Horizonte;-5,3766;-49,1197;6794
MARABA;150420801A;PA;Nova Maraba;-5,354;-49,103;3153
MARABA;150420803A;PA;Cidade Nova;-5,3705;-49,1323;3032
MONTE ALEGRE;150480202A;PA;Planalto;-1,992956;-54,079084;9097
MONTE ALEGRE;150480203A;PA;Serra Ocidental;-2,006856;-54,067632;9098
NOVA IPIXUNA;150497601A;PA;Centro;-4,911;-49,075;6796
NOVO PROGRESSO;150503101A;PA;Jardim Europa;-7,038026;-55,406592;9099
OBIDOS;150510602A;PA;Engenho Novo;-1,897123;-55,515946;9100
ORIXIMINA;150530402A;PA;N. S. das Gracas;-1,753101;-55,860264;9101
PARAUAPEBAS;150553603A;PA;Novo Brasil;-6,0915;-49,8682;6799
PARAUAPEBAS;150553604A;PA;Betânia;-6,0557;-49,8867;6800
PARAUAPEBAS;150553605A;PA;Centro;-6,0752;-49,8848;6801
PARAUAPEBAS;150553602A;PA;Nova Vida;-6,0914;-49,9045;6798
PARAUAPEBAS;150553601A;PA;Palmares Sul;-5,9953;-49,8894;6797
PRAINHA;150600501A;PA;São Sebastião;-1,787735;-53,483724;9104
RIO MARIA;150616101A;PA;Centro;-7,3105;-50,0543;6802
RUROPOLIS;150619501A;PA;Leitoso;-4,088321;-54,889281;9105
RUROPOLIS;150619502A;PA;Rurópolis;-4,099531;-54,910166;9106
SANTANA DO ARAGUAIA;150670801A;PA;Centro;-9,334535;-50,343572;9107
SANTANA DO ARAGUAIA;150670802A;PA;Balneario;-9,339275;-50,328607;9108
SANTAREM;150680703A;PA;Matinha;-2,461588;-54,730973;9111
SANTAREM;150680704A;PA;Mapiri;-2,428133;-54,742238;9112
SANTAREM;150680702A;PA;Uruará;-2,434686;-54,691573;9110
SAO JOAO DO ARAGUAIA;150750801A;PA;Secretaria Municipal de Educação;-5,361;-48,7911;6804
SANTAREM;150680701A;PA;Jaderlândia;-2,476242;-54,684978;9109
SENADOR JOSE PORFIRIO;150780501A;PA;Maranhense;-2,586834;-51,948208;9113
TERRA SANTA;150797901A;PA;Centro;-2,110365;-56,491644;9114
TRAIRAO;150805001A;PA;Industrial;-4,707003;-55,990712;9115
TUCURUI;150810001a;PA;Centro;-3,766;-49,67;6805
VITORIA DO XINGU;150835701A;PA;Centro;-2,881682;-52,011503;9116
